Episode,TotalReward,TimeEp(s),CumTime(s),Alpha
159,-255.6,3.08,1567.82,0.0121
160,-138.55,1.98,1569.8,0.012
161,-137.63,1.96,1571.76,0.012
162,-0.25,1.86,1573.63,0.0119
163,-51.34,1.64,1575.26,0.012
164,-137.1,2.65,1577.92,0.012
165,-22.56,2.91,1580.83,0.0121
166,-109.93,2.38,1583.21,0.0121
167,-197.65,1.97,1585.18,0.0121
168,-185.87,3.16,1588.33,0.012
169,-69.66,2.48,1590.82,0.0119
170,-87.58,22.67,1613.49,0.0111
171,179.54,16.77,1630.26,0.0109
172,-55.21,26.21,1656.47,0.0107
173,-51.43,2.36,1658.83,0.0108
174,-154.58,19.21,1678.04,0.0111
175,-89.61,3.18,1681.22,0.0111
176,-145.87,12.65,1693.87,0.0112
177,-67.29,7.29,1701.16,0.0113
178,-128.16,23.05,1724.2,0.011
179,-102.26,2.46,1726.66,0.011
180,-85.57,1.85,1728.52,0.0109
181,-69.6,3.48,1732.0,0.0108
182,-35.74,3.32,1735.32,0.0107
183,-80.52,22.94,1758.26,0.0101
184,-108.82,2.37,1760.62,0.0099
185,187.59,11.96,1772.59,0.0097
186,-130.84,2.11,1774.7,0.0097
187,-198.24,4.4,1779.1,0.0098
188,-78.49,22.5,1801.61,0.0097
189,-176.05,3.29,1804.9,0.0098
190,-80.81,24.1,1829.0,0.0095
191,-32.49,24.61,1853.6,0.0089
192,-85.93,2.88,1856.48,0.0089
193,-89.69,3.09,1859.57,0.0089
194,-173.35,2.05,1861.62,0.0089
195,-13.18,23.04,1884.66,0.0087
196,-38.53,25.04,1909.7,0.0089
197,-260.87,3.31,1913.01,0.0089
198,-19.09,23.14,1936.15,0.0091
199,-440.57,2.22,1938.37,0.009
200,-6.53,24.38,1962.75,0.0086
201,-17.36,24.51,1987.26,0.0093
202,-123.22,2.01,1989.27,0.0093
203,-446.31,3.83,1993.1,0.0093
204,-54.69,24.98,2018.09,0.0098
205,-150.17,3.23,2021.32,0.0098
206,-31.17,25.81,2047.13,0.0098
207,-136.24,3.39,2050.52,0.0099
208,-112.98,2.92,2053.44,0.0098
209,-115.19,2.59,2056.03,0.0097
210,203.23,10.89,2066.92,0.0097
211,197.23,11.83,2078.76,0.0098
212,11.01,4.69,2083.45,0.0098
213,-340.66,2.98,2086.43,0.0098
214,181.59,8.62,2095.04,0.0101
215,-14.88,23.8,2118.84,0.0103
216,-52.62,4.66,2123.5,0.0105
217,-58.97,6.15,2129.66,0.0107
218,-239.88,5.7,2135.35,0.0107
219,-169.74,4.89,2140.25,0.0109
220,-82.68,4.57,2144.82,0.0108
221,-303.75,10.89,2155.71,0.0104
222,153.66,20.03,2175.73,0.0104
223,-271.02,4.75,2180.48,0.0104
224,142.45,17.91,2198.39,0.0102
225,189.35,16.77,2215.16,0.01
226,183.17,13.51,2228.67,0.0099
227,215.31,12.79,2241.46,0.0101
228,-206.88,18.88,2260.34,0.0101
229,273.47,7.24,2267.58,0.0102
230,94.25,23.28,2290.86,0.0106
231,-98.89,7.54,2298.4,0.0104
232,261.89,9.78,2308.18,0.0103
233,11.15,3.58,2311.76,0.0104
234,-233.53,3.88,2315.65,0.0104
235,23.23,24.64,2340.28,0.0101
236,18.28,24.74,2365.02,0.0098
237,279.07,6.26,2371.28,0.0097
238,14.26,24.64,2395.92,0.0095
239,187.86,14.77,2410.7,0.0092
240,202.25,11.03,2421.73,0.0093
241,265.57,7.69,2429.42,0.0094
242,-199.86,4.34,2433.76,0.0095
243,261.12,9.7,2443.47,0.0096
244,271.41,3.68,2447.15,0.0099
245,179.22,20.64,2467.79,0.0103
246,218.73,5.98,2473.78,0.0103
247,227.06,10.91,2484.68,0.0101
248,-18.28,24.73,2509.42,0.0105
249,297.74,7.0,2516.41,0.0106
250,29.0,2.89,2519.3,0.0106
251,188.2,15.54,2534.84,0.0107
252,268.68,6.09,2540.93,0.0108
253,199.05,9.38,2550.31,0.0109
254,266.47,10.97,2561.28,0.0107
255,257.26,17.35,2578.63,0.0114
256,100.21,20.43,2599.06,0.0111
257,255.33,5.65,2604.71,0.011
258,237.54,4.68,2609.39,0.0108
259,229.95,7.87,2617.26,0.0106
260,251.89,4.47,2621.74,0.0106
261,-121.38,25.05,2646.79,0.0107
262,241.7,6.83,2653.62,0.0107
263,291.05,4.68,2658.3,0.0108
264,199.68,11.27,2669.56,0.0106
265,113.07,24.07,2693.63,0.0102
266,254.73,3.83,2697.46,0.0104
267,220.79,10.41,2707.88,0.0104
268,232.99,6.12,2714.0,0.0105
269,245.68,11.49,2725.49,0.0105
270,265.92,5.01,2730.5,0.0105
271,247.82,4.82,2735.32,0.0104
272,241.22,6.12,2741.44,0.0103
273,219.56,6.34,2747.78,0.0103
274,261.68,5.44,2753.23,0.0101
275,262.79,5.86,2759.09,0.01
276,283.87,6.61,2765.7,0.0101
277,231.64,5.2,2770.9,0.0101
278,242.95,5.64,2776.54,0.0104
279,274.97,4.95,2781.5,0.0105
280,15.22,3.22,2784.72,0.0104
281,29.29,3.1,2787.82,0.0104
282,251.37,6.4,2794.22,0.0103
283,251.16,5.04,2799.26,0.0102
284,279.4,4.96,2804.22,0.0101
285,220.4,5.74,2809.97,0.0101
286,32.18,2.51,2812.48,0.0101
287,249.52,5.05,2817.53,0.01
288,280.5,3.5,2821.03,0.0099
289,233.58,6.96,2827.99,0.0101
290,230.3,14.47,2842.46,0.0104
291,242.58,5.5,2847.96,0.0107
292,231.23,7.46,2855.42,0.0107
293,291.1,8.58,2864.0,0.0107
294,207.62,17.97,2881.97,0.0108
295,2.61,2.66,2884.63,0.0108
296,285.67,9.7,2894.33,0.011
297,33.85,2.5,2896.83,0.0111
298,32.49,4.33,2901.16,0.0112
299,253.34,7.03,2908.19,0.0114
300,275.4,5.02,2913.22,0.0114
301,65.26,4.76,2917.98,0.0114
302,34.32,2.4,2920.38,0.0115
303,218.41,6.98,2927.36,0.0116
304,19.78,3.42,2930.78,0.0116
305,171.01,16.5,2947.28,0.0116
306,8.23,6.64,2953.92,0.0115
307,284.49,6.25,2960.17,0.0117
308,48.62,24.63,2984.8,0.0118
309,240.96,6.73,2991.53,0.0119
310,236.08,6.3,2997.83,0.0122
311,283.2,5.09,3002.92,0.0122
312,-141.93,9.81,3012.73,0.0125
313,32.19,3.02,3015.75,0.0125
314,281.9,6.66,3022.41,0.0125
315,270.32,6.6,3029.0,0.0125
316,252.55,5.19,3034.19,0.0126
317,263.58,3.81,3038.0,0.0125
318,260.77,11.29,3049.29,0.0124
319,306.72,6.02,3055.32,0.0124
320,-410.39,5.47,3060.79,0.0125
321,252.33,4.35,3065.14,0.0126
322,289.0,9.04,3074.18,0.0127
323,201.53,9.2,3083.37,0.0126
324,282.66,6.04,3089.41,0.0126
325,260.85,7.29,3096.7,0.0126
326,214.25,11.44,3108.14,0.013
327,258.7,3.89,3112.03,0.0131
328,264.41,7.94,3119.97,0.013
329,276.6,14.37,3134.34,0.0129
330,273.68,3.95,3138.29,0.0129
331,30.3,2.6,3140.89,0.0129
332,251.06,6.51,3147.41,0.013
333,261.55,6.46,3153.87,0.0129
334,281.98,4.62,3158.49,0.0127
335,276.41,3.85,3162.34,0.0126
336,250.9,5.26,3167.6,0.0125
337,236.7,9.34,3176.94,0.0125
338,254.0,5.3,3182.24,0.0124
339,244.07,6.31,3188.55,0.0126
340,271.75,7.36,3195.91,0.0123
341,220.48,4.42,3200.33,0.0123
342,294.33,7.94,3208.28,0.0125
343,241.82,4.52,3212.8,0.0124
344,264.5,4.48,3217.27,0.0125
345,274.07,5.79,3223.07,0.0126
346,224.65,4.77,3227.84,0.0125
347,273.73,8.62,3236.46,0.0123
348,252.71,5.63,3242.09,0.0122
349,243.73,4.62,3246.71,0.0121
350,259.98,4.82,3251.54,0.0121
351,233.31,6.21,3257.75,0.0122
352,212.59,22.7,3280.45,0.0126
353,269.54,8.91,3289.36,0.0125
354,238.85,6.52,3295.88,0.0125
355,257.15,4.86,3300.74,0.0125
356,239.23,14.08,3314.82,0.0123
357,234.07,4.14,3318.96,0.0122
358,206.02,6.33,3325.28,0.0123
359,234.57,5.51,3330.8,0.0126
360,271.8,5.98,3336.78,0.0127
361,261.55,5.24,3342.02,0.0123
362,273.11,5.15,3347.17,0.0124
363,-49.27,3.0,3350.18,0.0124
364,152.88,24.48,3374.66,0.0127
365,251.12,6.86,3381.52,0.0126
366,315.21,6.92,3388.44,0.0126
367,265.37,3.89,3392.33,0.0125
368,262.22,5.53,3397.86,0.0124
369,300.49,6.01,3403.88,0.0123
370,216.22,5.17,3409.05,0.0123
371,222.87,9.97,3419.02,0.0125
372,262.12,5.61,3424.64,0.0126
373,212.28,4.68,3429.32,0.0127
374,264.98,4.88,3434.2,0.0127
375,-27.0,26.92,3461.12,0.0123
376,-16.79,25.98,3487.11,0.0118
377,270.51,8.89,3496.0,0.0117
378,219.02,4.64,3500.64,0.0116
379,124.18,25.3,3525.94,0.0108
380,265.5,5.3,3531.24,0.0109
381,265.01,11.22,3542.46,0.0108
382,129.72,22.32,3564.78,0.0109
383,264.05,5.45,3570.23,0.0108
384,187.99,14.11,3584.34,0.0103
385,-49.98,26.63,3610.97,0.0102
386,246.06,4.2,3615.17,0.01
387,279.42,3.49,3618.66,0.0098
388,118.3,22.85,3641.51,0.0093
389,281.86,5.17,3646.69,0.0093
390,59.5,3.84,3650.53,0.0093
391,147.66,8.5,3659.03,0.0092
392,-10.59,4.17,3663.2,0.0092
393,225.55,4.39,3667.59,0.0093
394,284.15,4.05,3671.64,0.0093
395,185.35,10.83,3682.47,0.0095
396,167.62,9.7,3692.17,0.0094
397,131.13,24.04,3716.22,0.0093
398,-18.83,3.3,3719.51,0.0094
399,272.66,4.55,3724.06,0.0093
400,267.39,4.72,3728.78,0.0093
401,276.89,3.78,3732.56,0.0092
402,260.21,4.43,3736.99,0.0091
403,-55.19,4.1,3741.09,0.0092
404,-25.14,3.16,3744.25,0.009
405,-76.05,3.23,3747.48,0.0089
406,-56.51,4.21,3751.69,0.0088
407,258.82,4.64,3756.33,0.0088
408,-177.85,13.6,3769.93,0.0088
409,271.23,6.86,3776.79,0.0088
410,226.57,8.01,3784.8,0.0086
411,-25.59,4.17,3788.97,0.0086
412,-65.23,7.08,3796.05,0.0087
413,197.62,12.45,3808.5,0.0085
414,225.92,4.67,3813.18,0.0085
415,-118.65,25.86,3839.04,0.0082
416,7.68,3.73,3842.77,0.0082
417,240.74,5.04,3847.81,0.0082
418,160.81,10.9,3858.71,0.0082
419,254.54,5.32,3864.04,0.0082
420,287.62,6.18,3870.22,0.0082
421,237.67,5.81,3876.03,0.0082
422,228.51,6.16,3882.19,0.0083
423,165.27,11.62,3893.81,0.0083
424,262.57,4.21,3898.03,0.0083
425,206.47,11.52,3909.55,0.0085
426,270.34,5.23,3914.78,0.0086
427,262.14,7.4,3922.18,0.0088
428,244.21,7.49,3929.67,0.0088
429,168.82,14.89,3944.56,0.0089
430,261.49,4.24,3948.8,0.0089
431,-111.03,8.94,3957.75,0.0088
432,-50.49,26.76,3984.5,0.0087
433,23.41,2.52,3987.03,0.0087
434,32.46,3.61,3990.64,0.0088
435,288.59,5.29,3995.93,0.0088
436,275.83,6.52,4002.46,0.0089
437,268.74,4.41,4006.86,0.0091
438,9.74,3.92,4010.78,0.0093
439,258.13,5.09,4015.87,0.0094
440,39.5,2.57,4018.45,0.0094
441,24.62,3.04,4021.48,0.0094
442,239.54,7.86,4029.34,0.0094
443,39.32,2.36,4031.7,0.0095
444,266.08,5.42,4037.13,0.0094
445,184.97,20.58,4057.71,0.0095
446,227.75,5.31,4063.02,0.0095
447,299.78,6.43,4069.45,0.0094
448,273.41,4.45,4073.9,0.0093
449,54.55,3.71,4077.62,0.0093
450,246.48,5.77,4083.39,0.0093
451,246.32,8.48,4091.87,0.0093
452,256.48,8.5,4100.37,0.0091
453,21.22,3.4,4103.77,0.0091
