Episode,TotalReward,TimePerEpisode(s),CumulativeTime(s)
157,-53.053545028362166,26.97,2735.9
158,-40.74582521819888,29.84,2765.75
159,2.337334877206031,27.62,2793.37
160,-284.3647641082587,3.03,2796.39
161,179.08826343121888,23.42,2819.82
162,126.73356325233989,23.69,2843.51
163,-211.32408442956293,2.38,2845.89
164,31.83524577007191,28.38,2874.27
165,11.37145770357722,28.87,2903.15
166,-127.20108366301926,27.02,2930.17
167,-2.177613922672789,28.24,2958.41
168,-21.903195291978573,27.76,2986.17
169,16.56699359454201,28.24,3014.42
170,-47.47823869728919,27.27,3041.69
171,-17.923479681867832,27.95,3069.64
172,-24.109605953653343,28.89,3098.53
173,-109.59244217401354,25.34,3123.87
174,-14.101993505343524,28.23,3152.1
175,37.467113874222065,2.71,3154.81
176,-36.96127007385538,4.49,3159.3
177,135.3152418609663,26.41,3185.71
178,-27.371948733664084,25.85,3211.56
179,162.6969184785401,20.87,3232.43
180,-20.823361639985094,2.91,3235.35
181,234.39330743412188,9.14,3244.5
182,147.4804042307473,18.0,3262.49
183,20.36052090166761,27.02,3289.51
184,197.54767488049959,15.15,3304.66
185,-1.8439633021040587,28.07,3332.73
186,-10.227232658772937,27.71,3360.44
187,-37.951521975052565,27.56,3388.01
188,-16.61901834771244,26.12,3414.13
189,-64.02591355369853,27.37,3441.5
190,-103.04066908543665,2.97,3444.47
191,-15.95501630219596,29.23,3473.7
192,-36.08071131752142,27.87,3501.57
193,85.40378314234384,26.42,3528.0
194,-39.85399115518755,31.15,3559.15
195,12.639967780762264,27.69,3586.85
196,18.120273025925993,27.2,3614.04
197,-42.88142306393292,27.66,3641.7
198,7.39935477328578,26.96,3668.66
199,27.495037534202638,29.51,3698.18
200,-17.43452093377995,28.04,3726.22
201,-45.04127498509381,29.33,3755.55
202,-27.069251633987296,27.87,3783.42
203,-21.515438335007815,28.09,3811.51
204,-16.933243961739446,28.11,3839.62
205,22.467140474524875,27.89,3867.52
206,3.4852645225290098,29.61,3897.13
207,-7.432632418711912,28.63,3925.76
208,-17.69632449213431,28.87,3954.64
209,5.867040044581638,29.55,3984.19
210,-18.510122508082862,28.59,4012.78
211,-7.170217326826714,27.61,4040.39
212,74.57643627693753,27.37,4067.76
213,-31.119923342674152,28.67,4096.43
214,-26.640612160620403,27.04,4123.47
215,11.23510828819066,29.11,4152.58
216,1.4693743333370515,26.56,4179.15
217,-16.315423985250547,27.26,4206.41
218,-103.82277184910886,27.06,4233.47
219,1.174215857156592,28.08,4261.55
220,-12.46437576047782,28.79,4290.34
221,-15.078624362461959,27.38,4317.72
222,-4.2237596275926865,30.04,4347.77
223,31.590573296785646,28.7,4376.47
224,10.071892858671136,27.92,4404.4
225,-6.420257135479673,29.08,4433.48
226,-10.847092169196218,27.93,4461.42
227,1.6517529625108252,27.28,4488.7
228,-26.367491487062036,29.69,4518.4
229,-27.816730738152188,27.44,4545.84
230,-35.09408078235271,28.52,4574.36
231,-9.76411773113448,29.93,4604.29
232,-14.519433670469962,29.89,4634.19
233,12.473229049046223,29.31,4663.5
234,-12.741670832050396,30.27,4693.77
235,22.709598835352224,27.86,4721.64
236,-5.388251732264527,29.75,4751.39
237,-29.008787750372903,27.84,4779.23
238,-26.218517810672726,28.88,4808.11
239,-12.049746796730735,27.48,4835.59
240,56.330826509502735,28.75,4864.35
241,-0.669681401898705,29.18,4893.53
242,-14.101533788769213,28.21,4921.75
243,13.98104104091163,29.19,4950.95
244,76.14890270185084,29.64,4980.59
245,17.806450815235475,29.47,5010.06
246,41.78279471784388,29.37,5039.44
247,2.0251204215086904,28.1,5067.54
248,6.34351092471836,29.93,5097.47
249,-29.323307753176458,30.35,5127.83
250,246.78032601360937,10.42,5138.25
251,-5.71882780196471,30.35,5168.6
252,-16.595474772583657,31.87,5200.48
253,-7.5122417290829695,29.24,5229.72
254,-13.006084393037623,30.05,5259.78
255,-2.934966026521434,28.92,5288.71
256,-4.172095547374483,29.42,5318.13
257,37.33963056314369,27.79,5345.92
258,-8.078763737683472,29.5,5375.43
259,28.17337504287378,27.41,5402.84
260,85.7800551034897,30.19,5433.04
261,-38.90069768762029,30.35,5463.39
262,-26.024685778913362,29.23,5492.62
263,6.418087133494619,30.2,5522.82
264,-38.88494522922583,29.93,5552.75
265,70.6311693485345,28.71,5581.47
266,68.03848771436017,30.04,5611.51
267,-44.001683658337846,30.07,5641.59
268,-25.645986800543138,31.12,5672.71
269,22.047042479458618,29.66,5702.37
270,245.98921884187925,17.03,5719.4
271,170.8606230366268,25.41,5744.81
272,222.95088889297307,14.92,5759.74
273,-337.5822126913995,26.9,5786.65
274,-44.20163717507169,30.64,5817.29
275,178.09416820150113,19.43,5836.72
276,-43.112215186858926,31.35,5868.07
277,-182.75085647947168,14.44,5882.51
278,61.51276388624106,29.75,5912.26
279,-126.54130825949416,27.14,5939.4
280,81.21468926758621,30.25,5969.65
281,82.26327115103194,28.69,5998.34
282,31.809822296712536,30.95,6029.29
283,-0.2768099487424811,28.69,6057.99
284,218.97506886632408,13.74,6071.73
285,216.36472250628555,13.87,6085.6
286,219.51553060483883,20.27,6105.88
287,-231.51328343733164,27.68,6133.55
288,-50.2465596515424,29.37,6162.93
289,88.73555609830203,31.36,6194.29
290,22.36581059737071,28.96,6223.25
291,4.740251629677498,30.74,6254.0
292,157.55077326947085,18.54,6272.54
293,-8.320123129303827,30.77,6303.3
294,24.578186469248475,28.88,6332.19
295,193.7196902399975,17.84,6350.03
296,13.622570159362425,30.46,6380.49
297,251.6298467483066,4.85,6385.34
298,48.523939871054516,31.11,6416.45
299,-34.044700553304786,29.07,6445.52
300,251.7335108009347,8.63,6454.15
301,255.27901091043702,15.36,6469.52
302,24.734745118078244,31.03,6500.55
303,-34.493584782927854,17.84,6518.39
304,-36.83521498235089,31.32,6549.71
305,251.24009747433368,5.74,6555.45
306,215.5266249928917,22.62,6578.07
307,266.7962368037683,6.81,6584.88
308,262.81341258378393,11.39,6596.28
309,187.29753653022237,22.29,6618.56
310,38.64480780678039,3.38,6621.95
311,-26.7447555017458,30.36,6652.31
312,-46.53018456747642,31.6,6683.91
313,-210.15028209138407,18.48,6702.39
314,211.28264530525792,15.03,6717.42
315,226.30436057618326,21.29,6738.71
316,-15.926987828486274,30.67,6769.38
317,261.9977349535999,16.47,6785.85
318,210.63807058825793,19.15,6804.99
319,25.101885206835817,31.01,6836.0
320,9.354377922365073,31.42,6867.43
321,226.96657135300146,25.39,6892.82
322,-21.72521678784161,33.02,6925.85
323,269.4401014931693,8.15,6934.0
324,0.8073531175990576,29.76,6963.75
325,241.1146122985239,7.8,6971.56
326,118.13253032166703,29.2,7000.76
327,136.0905919928322,27.56,7028.32
328,8.905668795235272,31.79,7060.11
329,-27.758530037314888,32.14,7092.25
330,241.66026520415764,8.3,7100.56
331,53.81990109820316,32.11,7132.67
332,-56.46235626659244,30.69,7163.37
333,269.27877766180904,8.64,7172.01
334,-44.87202639368301,30.34,7202.36
335,240.0359710589209,16.29,7218.65
336,279.5283259149203,13.31,7231.96
337,270.0750542821738,13.33,7245.29
338,267.74995713925375,12.84,7258.13
339,220.97750367850085,9.38,7267.51
340,77.75683436158131,29.84,7297.35
341,244.97545845354642,12.06,7309.42
342,-21.815966788598118,30.58,7340.0
343,235.41314827505389,5.65,7345.64
344,254.20720258627722,6.73,7352.38
345,30.890155342844892,32.17,7384.54
346,-52.27208522997157,32.74,7417.29
347,29.263400531383077,30.99,7448.28
348,254.99953798547463,12.76,7461.04
349,119.22294344916325,31.63,7492.68
350,-333.87024110848597,13.5,7506.18
351,-0.1861523228617088,31.31,7537.49
352,9.211312520210225,31.36,7568.85
353,277.5808775876363,11.23,7580.08
354,211.31728392939937,24.48,7604.57
355,251.17341038974828,15.04,7619.61
356,106.79691096988375,32.18,7651.8
357,107.85953019013026,30.45,7682.25
358,183.12756870091448,22.07,7704.33
359,53.054512345132004,32.79,7737.12
360,220.2006753892925,14.3,7751.42
361,235.83497179262437,13.23,7764.65
362,254.87757467043753,16.32,7780.97
363,214.99218797283913,18.61,7799.58
364,-58.12966278943155,31.92,7831.5
365,198.9690452836095,15.47,7846.98
366,249.47667334990507,15.12,7862.1
367,-3.5721903184095067,31.82,7893.92
368,-1.7586537316829276,32.5,7926.42
369,31.63640170202483,33.1,7959.52
370,192.39076289852514,25.12,7984.64
371,202.13862656574975,28.78,8013.42
372,221.05447665996496,16.71,8030.13
373,188.57645740860025,16.37,8046.5
374,201.97683476671105,12.16,8058.66
375,-268.31044619171314,15.24,8073.9
376,38.21826689400602,32.3,8106.2
377,22.698628975693445,32.91,8139.12
378,-274.8811731394616,15.37,8154.49
379,34.28737873531456,32.2,8186.7
380,208.5448779914526,15.37,8202.06
381,253.94697911554474,17.52,8219.58
382,247.94477883626698,18.6,8238.19
383,45.0134014322732,33.05,8271.24
384,-38.141866695267375,31.49,8302.73
385,67.75105242984017,33.19,8335.93
386,220.02340086893713,9.8,8345.73
387,129.76035771660204,32.8,8378.53
388,70.13506127181446,32.75,8411.29
389,228.56311509863195,11.77,8423.06
390,46.90445093405317,33.19,8456.25
391,189.28064144154942,18.13,8474.38
392,232.98565449802553,18.33,8492.72
393,220.26847519059191,14.56,8507.28
394,189.15840186977792,16.35,8523.64
395,229.64944362706197,10.26,8533.9
396,257.4369651213027,11.33,8545.23
397,-253.01383106566917,17.79,8563.02
398,-206.96074389767372,18.92,8581.94
399,28.95990756345507,32.56,8614.51
400,243.0244165512512,7.67,8622.18
401,-185.60594399342017,7.35,8629.53
402,238.48379350175153,11.42,8640.95
403,24.86926194115773,31.75,8672.7
404,256.14636319924307,16.59,8689.29
405,248.1320778821111,10.19,8699.49
406,225.79364348431784,14.12,8713.61
407,283.1074124698574,12.78,8726.4
408,222.71689468796149,33.36,8759.76
409,193.28674232540064,29.19,8788.95
410,225.81278913143416,13.47,8802.42
411,259.762306406378,9.77,8812.19
412,219.88234577482353,12.05,8824.25
413,235.98825858797767,11.58,8835.82
414,209.62813773756068,32.72,8868.55
415,220.83160263675347,12.54,8881.08
416,41.533833106699014,33.53,8914.62
417,24.220239025618994,34.57,8949.19
418,267.9277246945172,20.73,8969.93
419,272.8895343455373,11.62,8981.55
420,260.91713098349146,22.46,9004.01
421,271.7126288188591,11.6,9015.61
422,258.74035122068557,18.87,9034.48
423,20.184583877117618,33.75,9068.23
424,232.60568241221847,14.62,9082.85
425,-111.80306733843544,12.44,9095.29
426,263.8388031281074,10.48,9105.77
427,298.6625276724707,9.88,9115.65
428,251.73139457108869,7.67,9123.32
429,205.92470994564752,15.13,9138.45
430,265.4159192943605,10.82,9149.27
431,237.32859091646543,26.86,9176.13
432,237.20718426806712,12.02,9188.15
433,281.5818298992654,11.66,9199.81
434,257.7535419379593,14.25,9214.06
435,114.04423298525039,33.84,9247.9
436,242.4834143897416,6.44,9254.35
437,56.33790226421664,34.99,9289.34
438,6.107462414333823,33.95,9323.3
439,254.6113075292911,10.79,9334.09
440,276.38715513884136,9.22,9343.31
441,224.6909315264317,21.33,9364.65
442,-55.50456875989133,9.08,9373.73
443,271.49117161945367,9.14,9382.86
444,252.3836794588566,22.01,9404.88
445,202.1348825393682,8.43,9413.32
446,242.501584008789,10.76,9424.08
447,216.9460758784495,9.2,9433.28
448,279.3377155878037,8.6,9441.88
449,258.30757933741484,9.87,9451.75
450,272.8704940483806,9.41,9461.16
451,289.87495154827906,10.19,9471.35
452,-327.76457531972846,14.16,9485.51
453,257.7739157061234,8.7,9494.2
454,235.79738761958984,14.02,9508.23
455,238.48275464386754,7.94,9516.17
456,241.51135838455636,7.31,9523.48
457,240.00840231401565,11.42,9534.9
458,-133.2725217371966,5.61,9540.51
459,279.8364132740825,9.46,9549.97
460,-97.23401599682103,13.58,9563.56
461,230.1800432876961,32.01,9595.57
462,252.500091961334,12.0,9607.57
463,18.21390914353245,34.69,9642.26
464,288.6222179177166,6.81,9649.08
465,-147.46215110238987,25.65,9674.73
466,240.56875123625377,12.5,9687.23
467,257.88448760906806,7.32,9694.55
468,271.078365728333,8.11,9702.66
469,264.8785279761039,14.13,9716.8
470,268.7168581646712,8.04,9724.84
471,282.5450103231949,21.86,9746.71
472,255.08976916539896,11.27,9757.98
473,261.9601697205411,22.92,9780.9
